Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2008-09 to 2009-10, Gundagai,34.8,918.2,136.3,110.6,166.4, ++
 2013-14 to 2014-15, Ku-ring-gai,"1,162.70",918,130,124.8,135, ++
 2005-06 to 2006-07, Kempsey,261.7,917,142.7,130.6,155.1, ++
 2004-05 to 2005-06, Griffith,212.4,916.9,153.6,139.2,168.7, ++
 2012-13 to 2013-14, Warringah,"1,427.10",916.6,129,124.6,133.9, ++
 2013-14 to 2014-15, Narromine,61.4,916,129.7,109.6,152, ++
 2009-10 to 2010-11, Tenterfield,67.7,915.5,135.4,113.7,158.1, ++
 2011-12 to 2012-13, Lane Cove,309.1,915,130.4,120.6,140.4, ++
 2013-14 to 2014-15, Gundagai,35.9,914.3,129.5,106.2,156.2, +
 2013-14 to 2014-15, Bombala,24.6,914,129.4,100.1,163.7,0
 2010-11 to 2011-12, Narrandera,58.6,913.3,132.5,112,154.9, ++
 2010-11 to 2011-12, Deniliquin,72.4,913.2,132.5,112.9,154.4, ++
 2006-07 to 2007-08, Narrabri,118.4,912.6,136.4,120.1,153.3, ++
 2002-03 to 2003-04, Temora,56.6,912.5,165.5,137.9,196.1, ++
 2007-08 to 2008-09, Manly,375,911.3,135.9,126.1,145.9, ++
 2006-07 to 2007-08, Waverley,626,911.1,136.2,128.9,143.9, ++
 2009-10 to 2010-11, Narrabri,118.9,910.8,134.7,118.9,151, ++
 2013-14 to 2014-15, Lithgow,204,910.6,128.9,116.9,141.7, ++
 2005-06 to 2006-07, Wellington,74.1,909.7,141.6,120.6,165.9, ++
 2013-14 to 2014-15, North Sydney,655.1,908.1,128.6,122,135.1, ++
 2001-02 to 2002-03, Temora,57.3,907.6,167.7,140.6,198.7, ++
 2002-03 to 2003-04, Wellington,75.5,907.1,164.6,141.3,190.9, ++
 2008-09 to 2009-10, Mosman,275.4,906.1,134.5,124.1,145.9, ++
 2012-13 to 2013-14, Marrickville,737.4,906.1,127.5,121.2,134.3, ++
 2001-02 to 2002-03, Narrabri,125.5,905.1,167.2,147.7,188.4, ++
 2007-08 to 2008-09, Wellington,78,905.1,134.9,115.1,155.2, ++
 2010-11 to 2011-12, Coonamble,38.1,903.6,131.1,105.4,159.7, +
 2013-14 to 2014-15, Leichhardt,507.9,903.2,127.9,120.4,135.4, ++
 2009-10 to 2010-11, Tumut Shire,105.4,903.1,133.5,116.8,150.9, ++
 2007-08 to 2008-09, Tenterfield,64.5,902.5,134.6,113.8,157.5, ++
 2013-14 to 2014-15, Warringah,"1,423.60",902.3,127.7,123,132.5, ++
 2005-06 to 2006-07, Moree Plains,119.8,902.2,140.4,123.9,157.5, ++
 2005-06 to 2006-07, Lane Cove,294.7,901.3,140.3,129.3,151.5, ++
 2009-10 to 2010-11, Tumbarumba,34,900.9,133.2,106.4,163, +
 2006-07 to 2007-08, Leeton,96.6,899.8,134.5,117.8,153.5, ++
 2006-07 to 2007-08, Bland,56.1,899.7,134.4,113.6,158.7, ++
 2005-06 to 2006-07, Warrumbungle Shire,91.9,898.9,139.9,121.5,159.7, ++
 2002-03 to 2003-04, Narrandera,58.7,898.6,163,136.5,191.3, ++
 2007-08 to 2008-09, Eurobodalla,359.2,898.6,134,123.9,144.1, ++
 2011-12 to 2012-13, Sydney,"1,688.20",898.4,128,123.8,132.4, ++
 2003-04 to 2004-05, Gilgandra,41.7,898,157.4,126.6,189.3, ++
 2007-08 to 2008-09, Moree Plains,115.7,897.9,133.9,118,150.2, ++
 2006-07 to 2007-08, Woollahra,515.7,897.8,134.2,125.9,142.8, ++
 2013-14 to 2014-15, Kyogle,93.7,897.8,127.1,111,144.5, ++
 2007-08 to 2008-09, Gundagai,33.9,897.5,133.8,107.9,163.3, ++
 2005-06 to 2006-07, Cootamundra,69.7,896.1,139.5,117.4,163.1, ++
 2004-05 to 2005-06, Bellingen,117.5,896,150.1,132,169.5, ++
 2008-09 to 2009-10, Young,110.6,895.1,132.9,117,150.4, ++
 2005-06 to 2006-07, Broken Hill,184,895,139.3,125.4,153.4, ++
 2013-14 to 2014-15, Young,115.8,894.1,126.6,111.6,143, ++
 2005-06 to 2006-07, Waverley,608.4,892.5,138.9,131,146.9, ++
 2011-12 to 2012-13, Narrabri,119,892.4,127.2,112.5,142.9, ++
 2008-09 to 2009-10, Clarence Valley,476.1,892,132.4,124.4,140.8, ++
 2007-08 to 2008-09, Young,108.9,891.9,133,117.5,150.2, ++
 2005-06 to 2006-07, Lithgow,184.6,891.5,138.7,125.5,152.6, ++
 2011-12 to 2012-13, Narrandera,57.3,891.5,127.1,106.9,147.4, ++
 2012-13 to 2013-14, Junee,57.2,891.5,125.5,106.4,148.8, +
 2007-08 to 2008-09, Broken Hill,183.8,890.7,132.8,120.1,146.5, ++
 2010-11 to 2011-12, Tumbarumba,33.8,888.3,128.9,102.4,158.3, +
 2012-13 to 2013-14, Richmond Valley,212.5,888.1,125,113.5,136.8, ++
 2010-11 to 2011-12, Young,113.6,886.7,128.7,113.1,143.8, ++
 2012-13 to 2013-14, Narrandera,57,884.3,124.5,104.3,146.6, +
 2012-13 to 2013-14, Sydney,"1,685.90",884.3,124.5,120.1,128.7, ++
 2012-13 to 2013-14, Bogan,26.2,883.9,124.4,96.2,155.8,0
 2010-11 to 2011-12, Tumut Shire,104,883.6,128.2,112.1,144.8, ++
 2001-02 to 2002-03, Tenterfield,62,883.4,163.2,137,192.5, ++
 2007-08 to 2008-09, Warringah,"1,295.50",883.2,131.7,126.7,137, ++
 2011-12 to 2012-13, Carrathool,24.4,883,125.9,98.6,156.1,0
 2008-09 to 2009-10, Temora,55.6,882.9,131.1,109.5,155, ++
 2013-14 to 2014-15, Woollahra,537.3,882.3,124.9,117,132.7, ++
 2011-12 to 2012-13, Eurobodalla,378.4,882.2,125.7,116.8,134.5, ++
 2010-11 to 2011-12, Lithgow,192.1,882,128,116.1,141.4, ++
 2013-14 to 2014-15, Narrandera,56.9,881.9,124.9,105,145.7, +
 2008-09 to 2009-10, Wellington,78.4,881.4,130.9,112.1,151, ++
 2009-10 to 2010-11, Eurobodalla,364.7,881.2,130.3,120.9,139.5, ++
 2005-06 to 2006-07, Temora,55.1,881,137.1,115.3,163, ++
 2005-06 to 2006-07, Clarence Valley,451.4,880.9,137.1,128.5,146.6, ++
