Alcohol attributable hospitalisations by Local Government Area and year,,,,,,,
,,,,,,,
 year, Local Government Areas, Smoothed Number of Separations per Year," Smoothed Rate per 100,000 population", Smoothed Estimate of Standardised Separation Ratio, Lower 95% credible interval for sSSR, Upper 95% credible interval for sSSR, Significantly higher or lower than State
 2009-10 to 2010-11, Lockhart,21.8,665,98.3,76.7,123.3,0
 2004-05 to 2005-06, Cabonne,83.7,664.8,111.4,95.8,127.2,0
 2009-10 to 2010-11, Ballina,298.1,664.7,98.3,91.2,106.3,0
 2004-05 to 2005-06, Narromine,42.6,664.6,111.4,91.2,133.9,0
 2011-12 to 2012-13, Cabonne,90.3,664.6,94.7,82.7,108.2,0
 2013-14 to 2014-15, Bankstown,"1,278.00",664.4,94.1,90.5,97.8, --
 2012-13 to 2013-14, Botany Bay,284.5,664,93.5,86.3,101.3,0
 2008-09 to 2009-10, Boorowa,16.7,663.8,98.6,74.2,126.5,0
 2004-05 to 2005-06, Deniliquin,52.5,663.7,111.2,92,132.1,0
 2005-06 to 2006-07, Ryde,694.5,663.5,103.3,97.7,109,0
 2013-14 to 2014-15, Byron,223.4,663.3,93.9,85.6,103,0
 2008-09 to 2009-10, Unincorporated NSW,7.6,662.3,98.3,67.3,137,0
 2005-06 to 2006-07, Wollongong,"1,283.60",662.2,103.1,99.2,107.3,0
 2013-14 to 2014-15, Ballina,312.2,662,93.7,86.6,100.9,0
 2003-04 to 2004-05, Bombala,18,661.9,116,85.4,151.8,0
 2009-10 to 2010-11, The Hills Shire,"1,096.60",661.5,97.8,93.7,101.9,0
 2005-06 to 2006-07, Dubbo,240.8,661.3,102.9,94,112.2,0
 2005-06 to 2006-07, Lockhart,21.9,661.3,102.9,78.6,132.2,0
 2009-10 to 2010-11, Berrigan,60.1,661,97.7,82.2,114.6,0
 2011-12 to 2012-13, Tweed,657.8,660.9,94.2,89.4,99.3, -
 2013-14 to 2014-15, Goulburn Mulwaree,203.3,660.2,93.5,85,102.5,0
 2001-02 to 2002-03, Leichhardt,347.9,660.1,121.9,113.1,131, ++
 2013-14 to 2014-15, Boorowa,18.2,659.7,93.4,72.9,117,0
 2010-11 to 2011-12, Auburn,475.5,659.5,95.7,89.8,101.7,0
 2003-04 to 2004-05, North Sydney,432.7,658.7,115.4,107.8,123.3, ++
 2010-11 to 2011-12, Urana,8.6,658.7,95.6,69.4,127.4,0
 2013-14 to 2014-15, Greater Hume Shire,70.1,658.7,93.3,79.8,107.5,0
 2011-12 to 2012-13, Newcastle,"1,068.70",658.5,93.8,90,97.8, --
 2002-03 to 2003-04, Mosman,194.8,658.3,119.4,108,131.8, ++
 2004-05 to 2005-06, North Sydney,434.7,658.1,110.3,103.5,117.1, ++
 2013-14 to 2014-15, Cooma-Monaro,73,658.1,93.2,79.8,107.7,0
 2003-04 to 2004-05, Manly,268.9,657.6,115.2,106.2,125, ++
 2004-05 to 2005-06, Bathurst Regional,236.5,657.6,110.2,100.3,120, +
 2009-10 to 2010-11, Newcastle,"1,048.10",657.6,97.2,93.3,101.4,0
 2013-14 to 2014-15, Wagga Wagga,397.4,657.6,93.1,86.9,99.8, -
 2009-10 to 2010-11, Tweed,632,657.4,97.2,91.9,102.6,0
 2012-13 to 2013-14, Greater Hume Shire,69.4,657.1,92.5,78.5,107.2,0
 2013-14 to 2014-15, Weddin,27.9,656.9,93,73.9,115.1,0
 2002-03 to 2003-04, Griffith,151.1,656.7,119.1,107,132, ++
 2013-14 to 2014-15, Willoughby,481.3,656.7,93,87.5,99.1, -
 2008-09 to 2009-10, Glen Innes Severn,62.3,656.3,97.4,81.5,114.7,0
 2012-13 to 2013-14, Campbelltown,919.6,655.5,92.3,88.1,96.5, --
 2007-08 to 2008-09, Albury,314.1,655.1,97.7,90.3,105.5,0
 2012-13 to 2013-14, Tweed,661.5,654.9,92.2,87.3,97.3, --
 2007-08 to 2008-09, Inverell,106.5,654.8,97.6,85.9,110.5,0
 2013-14 to 2014-15, Nambucca,148.1,654.2,92.6,82.5,103.1,0
 2012-13 to 2013-14, Bankstown,"1,242.70",654.1,92.1,88.4,95.6, --
 2011-12 to 2012-13, Narromine,43.5,653.8,93.2,76.2,111.7,0
 2003-04 to 2004-05, Urana,8.9,653.7,114.5,77.6,159.3,0
 2001-02 to 2002-03, Burwood,212,653.6,120.7,109.7,132.8, ++
 2002-03 to 2003-04, Holroyd,574,653.6,118.6,112,125.7, ++
 2006-07 to 2007-08, Great Lakes,251.5,653.2,97.6,89.4,106,0
 2012-13 to 2013-14, Goulburn Mulwaree,199.2,653.2,91.9,83.2,100.8,0
 2007-08 to 2008-09, Upper Lachlan Shire,49.3,652.8,97.3,81.8,115.2,0
 2002-03 to 2003-04, Wyong,906.4,651.6,118.2,112.8,123.5, ++
 2005-06 to 2006-07, North Sydney,432.3,651.5,101.4,94.8,108.9,0
 2010-11 to 2011-12, Bathurst Regional,251.6,651.1,94.5,86.4,102.7,0
 2013-14 to 2014-15, Tenterfield,51.2,650.9,92.2,77,108.3,0
 2002-03 to 2003-04, Orange,231.3,650.8,118.1,108,129.6, ++
 2006-07 to 2007-08, Ryde,690.7,649.8,97.1,91.9,102.4,0
 2012-13 to 2013-14, Mid-Western Regional,158.5,649.5,91.4,81.6,101,0
 2013-14 to 2014-15, Shoalhaven,713.6,649.4,91.9,87,96.7, --
 2008-09 to 2009-10, Guyra,28.8,649.3,96.4,76.6,118.1,0
 2003-04 to 2004-05, Guyra,27.6,648.8,113.7,88.6,141.2,0
 2005-06 to 2006-07, Wagga Wagga,363.9,648.8,101,94.1,108.5,0
 2002-03 to 2003-04, Lismore,275.7,648.7,117.7,108.7,127.8, ++
 2003-04 to 2004-05, Cabonne,81.5,648.6,113.6,97.6,131.5,0
 2008-09 to 2009-10, Ballina,285.6,648.5,96.3,89.2,104.1,0
 2004-05 to 2005-06, Walcha,21.6,648.3,108.6,84,137.9,0
 2006-07 to 2007-08, Albury,308.4,648.3,96.9,89.5,105,0
 2001-02 to 2002-03, Mosman,191,648.2,119.8,107.9,131.9, ++
 2009-10 to 2010-11, Singleton,141.9,647.3,95.7,85.5,106.5,0
 2010-11 to 2011-12, Greater Hume Shire,67.2,647.3,93.9,79.7,109.5,0
 2012-13 to 2013-14, Inverell,109.9,647.3,91.1,80.1,103.2,0
 2013-14 to 2014-15, Wollondilly,286,647.2,91.6,84.2,99, -
 2004-05 to 2005-06, Weddin,25.6,646.9,108.4,83.9,134.2,0
 2002-03 to 2003-04, Armidale Dumaresq,150.6,646.6,117.3,104.7,131, ++
 2001-02 to 2002-03, Narromine,43.2,646.5,119.4,96.9,142.7,0
 2002-03 to 2003-04, Marrickville,498.5,646,117.2,109.9,124.8, ++
 2013-14 to 2014-15, Mid-Western Regional,159.2,645.9,91.5,82,101,0
 2013-14 to 2014-15, Shellharbour,433.2,645.9,91.5,85.9,97.4, --
 2008-09 to 2009-10, Albury,312.6,645.7,95.9,88.6,103.4,0
 2004-05 to 2005-06, Guyra,27.4,645.6,108.2,85.2,135.3,0
 2012-13 to 2013-14, Wakool,29.6,645.4,90.8,72.5,111.8,0
 2010-11 to 2011-12, Gilgandra,30.5,645.3,93.7,75.3,114.9,0
 2010-11 to 2011-12, Tweed,632.7,644.6,93.6,88.6,98.6, -
 2002-03 to 2003-04, Harden,24.2,644.4,116.9,89,149,0
 2007-08 to 2008-09, Blue Mountains,500.5,644.1,96,90.4,102,0
 2004-05 to 2005-06, Armidale Dumaresq,149.2,644,107.9,96,119.8,0
 2010-11 to 2011-12, Ryde,717.7,643.9,93.5,88.7,98.4, --
 2003-04 to 2004-05, Armidale Dumaresq,148.1,643.8,112.8,100.9,125.7, +
 2001-02 to 2002-03, Waverley,439,643.7,118.9,111.2,127, ++
 2013-14 to 2014-15, Tweed,659.8,643.6,91.1,86.4,96.1, --
 2002-03 to 2003-04, North Sydney,420.3,643.5,116.7,109.3,124.8, ++
 2010-11 to 2011-12, Newcastle,"1,036.50",643.5,93.4,89.4,97.5, --
 2006-07 to 2007-08, Hornsby,"1,028.70",643,96.1,91.8,100.4,0
 2010-11 to 2011-12, Mid-Western Regional,151.3,642.5,93.2,83.6,104.1,0
 2006-07 to 2007-08, Botany Bay,247,642.1,95.9,88,104.2,0
 2006-07 to 2007-08, Upper Lachlan Shire,47.9,642.1,95.9,80.1,113.8,0
 2003-04 to 2004-05, Warringah,912.2,641.8,112.5,107.5,117.7, ++
 2010-11 to 2011-12, Goulburn Mulwaree,189.8,641.7,93.1,84.6,102.7,0
 2012-13 to 2013-14, Canada Bay,549.4,641.4,90.3,85,95.8, --
 2008-09 to 2009-10, Hornsby,"1,052.10",641.2,95.2,91.1,99.4, -
 2001-02 to 2002-03, Glen Innes Severn,58.8,641,118.4,99.1,139.5,0
 2004-05 to 2005-06, Marrickville,489.9,640.9,107.4,100.9,114.2, +
 2012-13 to 2013-14, Broken Hill,132.4,640.9,90.2,79.8,101.1,0
 2010-11 to 2011-12, Blue Mountains,515.3,640,92.9,87.4,98.4, -
 2001-02 to 2002-03, Griffith,147.7,639.9,118.2,105.9,132.8, ++
 2011-12 to 2012-13, Hurstville,550.6,639.9,91.2,86,96.7, --
 2011-12 to 2012-13, Mid-Western Regional,153.7,639.9,91.2,81.1,101.7,0
 2007-08 to 2008-09, Bombala,17.6,639.8,95.4,70.2,123.6,0
 2011-12 to 2012-13, Blacktown,"1,795.10",639.3,91.1,88.1,94.1, --
 2010-11 to 2011-12, Lockhart,20.9,638.9,92.7,71,117.2,0
 2008-09 to 2009-10, Inverell,105.2,638.8,94.8,83,107.1,0
 2012-13 to 2013-14, Hurstville,556.1,638.8,89.9,84.6,95.3, --
 2005-06 to 2006-07, Hunters Hill,97,638.6,99.4,86.3,113,0
 2008-09 to 2009-10, Wentworth,44.7,638.5,94.8,77,114,0
 2013-14 to 2014-15, Orange,252.4,638.3,90.4,82.6,98.2, -
 2005-06 to 2006-07, Pittwater,370.8,637.7,99.2,91.9,106.3,0
 2007-08 to 2008-09, Guyra,27.8,637.7,95.1,75.7,117.4,0
 2011-12 to 2012-13, Campbelltown,883.4,637.7,90.9,86.8,95.3, --
 2011-12 to 2012-13, Urana,8.4,637.4,90.8,64.5,121.9,0
 2006-07 to 2007-08, Goulburn Mulwaree,174.8,637.2,95.2,85.7,105.2,0
 2006-07 to 2007-08, Tweed,568.1,636.9,95.2,90,100.9,0
 2013-14 to 2014-15, Corowa Shire,81.1,636.6,90.1,77.6,104.3,0
 2002-03 to 2003-04, Manly,260.8,636.3,115.4,106.1,125.9, ++
 2006-07 to 2007-08, Cessnock,302,636,95,88,102.3,0
 2007-08 to 2008-09, Greater Taree,310.8,634.4,94.6,87.4,102.3,0
 2007-08 to 2008-09, Ashfield,285.9,634.3,94.6,87.3,102.4,0
 2011-12 to 2012-13, Inverell,107.3,634.1,90.4,79.6,102.3,0
 2004-05 to 2005-06, Leichhardt,329.7,633.8,106.2,98.5,114.4,0
 2004-05 to 2005-06, Inverell,101,633.7,106.2,92.9,120.8,0
 2009-10 to 2010-11, Hawkesbury,382.6,633.5,93.7,87.5,100.2,0
 2007-08 to 2008-09, Willoughby,436.9,633.4,94.4,88.3,100.5,0
 2010-11 to 2011-12, Unincorporated NSW,7.5,633.4,91.9,63.8,126.4,0
 2008-09 to 2009-10, Blacktown,"1,694.70",632.8,94,90.9,97, --
 2008-09 to 2009-10, Wollongong,"1,272.50",632.6,93.9,90.4,97.5, --
 2011-12 to 2012-13, Kiama,146,632.6,90.2,80.9,100.2,0
 2013-14 to 2014-15, Wingecarribee,325.2,632.6,89.6,83,96.9, --
 2004-05 to 2005-06, Wollongong,"1,221.70",632.4,106,101.8,110.3, ++
 2009-10 to 2010-11, Albury,309.5,632.4,93.5,86.5,100.9,0
 2001-02 to 2002-03, Harden,23.9,632.2,116.8,90.1,147.2,0
 2013-14 to 2014-15, Burwood,230.4,632.2,89.5,81.8,97.5, --
 2009-10 to 2010-11, Inverell,105.4,632,93.4,81.8,105.6,0
 2001-02 to 2002-03, Parkes,92.1,631.9,116.7,100.2,133.5, +
 2008-09 to 2009-10, The Hills Shire,"1,036.60",631.9,93.8,89.8,97.9, --
 2008-09 to 2009-10, Corowa Shire,75.7,631.7,93.8,79.9,108.5,0
 2002-03 to 2003-04, Guyra,27.2,631.4,114.5,87.9,144.2,0
 2013-14 to 2014-15, Campbelltown,901.1,631.4,89.4,85.3,93.7, --
 2009-10 to 2010-11, Ashfield,289.4,631.3,93.3,85.8,101,0
 2009-10 to 2010-11, Cessnock,316.7,631.3,93.3,86.2,100.7,0
 2003-04 to 2004-05, Waverley,426.6,631.2,110.6,103.4,117.9, ++
 2009-10 to 2010-11, Mid-Western Regional,146.2,631.2,93.3,83.3,104,0
 2009-10 to 2010-11, Unincorporated NSW,7.2,631.2,93.3,63.6,130.3,0
 2010-11 to 2011-12, Upper Hunter Shire,90.1,631.2,91.6,79.9,104.5,0
 2005-06 to 2006-07, Narromine,40.6,630.7,98.2,79,118.7,0
 2006-07 to 2007-08, Muswellbrook,92.3,630.6,94.2,81.7,108.2,0
 2007-08 to 2008-09, Wentworth,44.3,630.5,94,76.5,112.8,0
 2011-12 to 2012-13, Upper Hunter Shire,91.4,630.1,89.8,78.2,102.5,0
 2012-13 to 2013-14, Gilgandra,30.4,630,88.7,70.2,109.9,0
 2002-03 to 2003-04, Parkes,91.3,629.9,114.3,98.5,131.3,0
 2008-09 to 2009-10, Singleton,137,629.7,93.5,83.2,104.7,0
 2007-08 to 2008-09, Great Lakes,247.1,629.2,93.8,85.4,102.4,0
 2002-03 to 2003-04, Deniliquin,51.2,628.9,114.1,93.3,136.3,0
 2002-03 to 2003-04, Narromine,41.2,628.6,114,92.2,138,0
 2013-14 to 2014-15, Upper Hunter Shire,92.1,628.6,89,78.2,100.8,0
 2012-13 to 2013-14, Upper Hunter Shire,91.7,627.9,88.4,76.8,100.8,0
 2011-12 to 2012-13, Weddin,26.5,627.7,89.5,69.8,112.9,0
 2002-03 to 2003-04, Clarence Valley,312.9,627.4,113.8,104.9,123.2, ++
 2005-06 to 2006-07, Wingecarribee,276.5,627.3,97.6,89.8,105.8,0
 2003-04 to 2004-05, Leeton,68.5,627.2,109.9,92.5,129,0
 2010-11 to 2011-12, Singleton,138.5,627.1,91,81.2,101.4,0
 2001-02 to 2002-03, Guyra,27.3,627,115.8,91.3,144.8,0
 2007-08 to 2008-09, Dubbo,231.7,626.6,93.4,85.3,101.9,0
 2001-02 to 2002-03, Tumut Shire,71.7,626.4,115.7,98.9,134.4,0
 2003-04 to 2004-05, Harden,23.4,625.8,109.7,84.5,140.3,0
 2004-05 to 2005-06, Randwick,818.5,625.6,104.8,99.7,110.1,0
 2007-08 to 2008-09, Liverpool Plains,49.9,625,93.2,77.6,111.5,0
 2007-08 to 2008-09, Ryde,675.5,624.7,93.1,88.4,98.2, --
 2007-08 to 2008-09, Muswellbrook,91.4,624.5,93.1,80.7,106.6,0
 2001-02 to 2002-03, Mid-Western Regional,136,623.6,115.2,102.1,128.4, +
 2002-03 to 2003-04, Coolamon,25.2,623,113,86.3,142.4,0
 2009-10 to 2010-11, Wollongong,"1,270.90",622.8,92.1,88.6,95.6, --
 2005-06 to 2006-07, Great Lakes,235.4,622.7,96.9,88.5,105.6,0
 2008-09 to 2009-10, Greater Taree,309.7,621.8,92.3,85.1,99.6, -
 2005-06 to 2006-07, Gwydir,35.1,621.3,96.7,77.7,117.2,0
 2011-12 to 2012-13, Goulburn Mulwaree,186.6,621.1,88.5,80.2,97.6, -
 2006-07 to 2007-08, Coffs Harbour,428,620.2,92.7,86.5,99.2, -
 2002-03 to 2003-04, Urana,8.7,619.7,112.4,74.8,159.7,0
 2006-07 to 2007-08, Corowa Shire,73.1,619.3,92.5,78.9,107.5,0
 2006-07 to 2007-08, North Sydney,414.1,619.3,92.5,86.6,99, -
 2007-08 to 2008-09, Armidale Dumaresq,147.6,619.3,92.3,82.1,102.7,0
 2004-05 to 2005-06, Coolamon,25.1,618.6,103.7,80.1,131.3,0
 2005-06 to 2006-07, Newcastle,954,618.6,96.3,92,100.4,0
 2011-12 to 2012-13, Unincorporated NSW,7.4,618.6,88.2,59.6,121.7,0
 2008-09 to 2009-10, Muswellbrook,90.9,618.3,91.8,79.4,105.4,0
 2010-11 to 2011-12, Inverell,104.1,618.3,89.7,78.3,102,0
 2008-09 to 2009-10, Wingecarribee,289.1,617.9,91.7,84.1,99.1, -
 2011-12 to 2012-13, Sutherland Shire,"1,389.50",617.9,88.1,84.8,91.5, --
 2012-13 to 2013-14, Moree Plains,82,617,86.8,74.6,99.6, -
 2003-04 to 2004-05, Shoalhaven,569.1,616.6,108,101.9,114.5, +
 2004-05 to 2005-06, Tumbarumba,23.5,616.5,103.3,79.7,132,0
 2005-06 to 2006-07, Bombala,17,616.2,95.9,69.9,124.8,0
 2011-12 to 2012-13, Bombala,16.7,616,87.8,64.7,114.9,0
 2003-04 to 2004-05, Parkes,88.7,615.7,107.9,93.4,123,0
 2007-08 to 2008-09, Botany Bay,241.7,615.4,91.7,83.9,99.2, -
 2012-13 to 2013-14, Sutherland Shire,"1,397.20",615.3,86.6,83.4,89.8, --
 2005-06 to 2006-07, Armidale Dumaresq,144.7,615.2,95.7,85.7,106.9,0
 2001-02 to 2002-03, Parramatta,913.9,615,113.6,108.8,118.8, ++
 2006-07 to 2007-08, Gunnedah,72.8,615,91.9,78.6,106.1,0
 2002-03 to 2003-04, Weddin,24.4,614.4,111.5,86.4,141.6,0
 2003-04 to 2004-05, Holroyd,540.7,614.2,107.6,101.5,113.8, +
 2002-03 to 2003-04, Blacktown,"1,483.20",614.1,111.4,107.5,115.3, ++
 2008-09 to 2009-10, Blue Mountains,483.4,613.8,91.1,85.4,96.8, --
 2008-09 to 2009-10, Sutherland Shire,"1,357.50",613.8,91.1,87.9,94.6, --
 2005-06 to 2006-07, Greater Hume Shire,61.9,613.6,95.5,81,111.9,0
 2009-10 to 2010-11, Walcha,20.4,613.6,90.7,69.8,115.6,0
 2013-14 to 2014-15, Moree Plains,81.3,613.6,86.9,75.2,99.6, -
 2008-09 to 2009-10, Pittwater,371.9,613.5,91.1,84.5,97.7, -
 2012-13 to 2013-14, Cessnock,321.9,613.3,86.3,79.5,93.1, --
 2011-12 to 2012-13, Muswellbrook,94,613.2,87.4,75.9,99.2, -
 2010-11 to 2011-12, Cessnock,312.8,612.9,89,82.5,96.1, --
 2008-09 to 2009-10, Upper Hunter Shire,85,612.5,90.9,78.7,103.6,0
 2012-13 to 2013-14, Corowa Shire,77.1,612.2,86.2,73.8,99.3, -
 2012-13 to 2013-14, Lake Macquarie,"1,294.40",612.1,86.2,83.1,89.5, --
 2004-05 to 2005-06, Penrith,987.1,612,102.5,98.2,107.1,0
 2003-04 to 2004-05, Inverell,97.4,611.9,107.2,92.6,122.7,0
 2004-05 to 2005-06, Ballina,256.3,611.9,102.5,94,111.8,0
 2010-11 to 2011-12, Blacktown,"1,686.80",611.4,88.7,85.9,91.8, --
 2003-04 to 2004-05, Hunters Hill,92.4,611.3,107.1,92,123.6,0
 2008-09 to 2009-10, Ryde,668.8,611.1,90.7,85.9,95.7, --
 2009-10 to 2010-11, Great Lakes,253.3,611.1,90.4,82.9,98.2, -
 2010-11 to 2011-12, Campbelltown,837,610.9,88.7,84.8,93, --
 2012-13 to 2013-14, Weddin,25.8,610.9,86,67.6,106.8,0
 2012-13 to 2013-14, Tenterfield,47.4,610.6,85.9,71.3,102.3,0
 2007-08 to 2008-09, Oberon,31.9,610.5,91,72.7,112.8,0
 2011-12 to 2012-13, Bankstown,"1,144.50",610.5,87,83.7,90.9, --
 2004-05 to 2005-06, Auburn,389.3,610.4,102.3,95.2,109.2,0
 2005-06 to 2006-07, Cabonne,77.1,610.3,95,82.5,108.6,0
 2009-10 to 2010-11, Hornsby,"1,011.70",610.3,90.2,86.2,94.1, --
 2010-11 to 2011-12, Albury,301.3,610.2,88.6,81.3,96.1, --
 2009-10 to 2010-11, Wingecarribee,292.3,610,90.2,83.1,97.5, --
 2012-13 to 2013-14, Cabonne,84.7,609.9,85.8,73.9,97.7, -
 2003-04 to 2004-05, Parramatta,913.5,608.9,106.7,102,111.8, ++
 2005-06 to 2006-07, Upper Hunter Shire,82.7,608.6,94.7,81.8,108.7,0
 2003-04 to 2004-05, Wollongong,"1,173.00",608.2,106.6,102.3,110.8, ++
 2009-10 to 2010-11, Blue Mountains,484.4,608.1,89.9,84.3,95.9, --
 2004-05 to 2005-06, Byron,185.9,607.9,101.9,91.7,112.6,0
 2002-03 to 2003-04, Glen Innes Severn,56.4,607.5,110.2,91.8,129.9,0
 2012-13 to 2013-14, Gloucester,35.4,607.5,85.5,68.8,104.1,0
 2012-13 to 2013-14, Wingecarribee,307.6,607.5,85.5,78.7,92.3, --
 2009-10 to 2010-11, Blacktown,"1,652.70",607.3,89.8,86.7,92.9, --
 2007-08 to 2008-09, Sutherland Shire,"1,324.40",606.9,90.5,87,94, --
 2012-13 to 2013-14, Muswellbrook,94.7,606.9,85.4,74.3,97.5, -
 2006-07 to 2007-08, Willoughby,414.3,606.6,90.6,84.4,96.9, --
 2005-06 to 2006-07, Walcha,20.4,606.4,94.4,73.8,119.5,0
 2012-13 to 2013-14, Wollondilly,262.7,606.4,85.4,78.5,92.4, --
 2003-04 to 2004-05, Cooma-Monaro,60.3,606.3,106.2,88.6,125.3,0
 2007-08 to 2008-09, Upper Hunter Shire,83.3,606.3,90.4,79.2,103.1,0
 2003-04 to 2004-05, Shellharbour,347.6,606.1,106.2,98.5,113.8,0
 2004-05 to 2005-06, Dubbo,218.8,606.1,101.6,92.3,111.3,0
 2004-05 to 2005-06, Blue Mountains,461.1,605.8,101.5,94.6,108.2,0
 2013-14 to 2014-15, Warrumbungle Shire,64,605.5,85.7,72.9,99.8, -
 2006-07 to 2007-08, Greater Taree,291.9,605.1,90.4,83.1,97.7, -
 2013-14 to 2014-15, Cessnock,321.8,605.1,85.7,79.5,92.3, --
 2005-06 to 2006-07, Urana,7.9,604.9,94.1,65.6,129.6,0
 2007-08 to 2008-09, Cooma-Monaro,62.5,604.5,90.1,75.8,105.5,0
 2011-12 to 2012-13, Camden,329.1,604.5,86.1,79.9,92.9, --
 2012-13 to 2013-14, Liverpool Plains,49.7,604.4,85.1,70,100.3,0
 2002-03 to 2003-04, Leichhardt,317,604.3,109.6,101.4,118.3, +
 2001-02 to 2002-03, Auburn,356.8,604.2,111.6,103.7,120.2, ++
 2009-10 to 2010-11, Upper Hunter Shire,84.8,604.2,89.3,77.5,102.6,0
 2009-10 to 2010-11, Wakool,27.4,604.2,89.3,68.8,111.3,0
 2001-02 to 2002-03, Lismore,256.2,604,111.6,101.9,121.6, +
 2008-09 to 2009-10, Lake Macquarie,"1,209.50",603.9,89.7,86.2,93.3, --
 2013-14 to 2014-15, Hurstville,530.9,603.6,85.5,80.4,90.5, --
 2011-12 to 2012-13, Lake Macquarie,"1,259.80",603.2,86,82.8,89.4, --
 2002-03 to 2003-04, Ku-ring-gai,676.5,603.1,109.4,103.7,115.5, ++
 2013-14 to 2014-15, Broken Hill,124.6,603,85.4,75.1,96.1, --
 2006-07 to 2007-08, Oberon,31.4,602.9,90.1,70.9,111.2,0
 2001-02 to 2002-03, Wyong,824.7,602.8,111.4,106,116.8, ++
 2006-07 to 2007-08, Bombala,16.6,602.7,90.1,65.9,118,0
 2006-07 to 2007-08, Hawkesbury,352.6,602.7,90.1,83.5,96.8, --
 2007-08 to 2008-09, Blacktown,"1,578.00",602.7,89.9,86.7,93, --
 2010-11 to 2011-12, Canada Bay,489.4,602.5,87.4,82.2,93, --
 2010-11 to 2011-12, Hurstville,513.7,602.5,87.4,82.4,92.9, --
 2010-11 to 2011-12, Weddin,25.3,602.1,87.4,68.5,110.7,0
 2013-14 to 2014-15, Sutherland Shire,"1,379.40",602.1,85.2,82.1,88.6, --
 2011-12 to 2012-13, Gilgandra,28.7,602,85.8,67.5,105.5,0
 2011-12 to 2012-13, Cooma-Monaro,65.8,601.8,85.8,73.2,100.1,0
 2010-11 to 2011-12, Queanbeyan,227.9,601.7,87.3,79.9,95.7, --
 2002-03 to 2003-04, Hunters Hill,90.5,601.6,109.1,93.6,125.9,0
 2012-13 to 2013-14, Camden,342.2,601.6,84.7,78.3,91.2, --
 2011-12 to 2012-13, Corowa Shire,75.1,601.5,85.7,73.4,98.9, -
 2011-12 to 2012-13, Lockhart,19.5,601.5,85.7,65,110.9,0
 2005-06 to 2006-07, Hornsby,953.6,601.4,93.6,89.5,97.7, --
 2007-08 to 2008-09, Wakool,27.2,601.4,89.7,70.1,112.1,0
 2008-09 to 2009-10, Weddin,24.4,601.4,89.3,68.3,112.2,0
 2013-14 to 2014-15, Oberon,33.5,601.4,85.2,69,103.6,0
 2013-14 to 2014-15, Berrigan,57.3,601.3,85.1,71.2,99.6, -
 2002-03 to 2003-04, Burwood,196.9,600.9,109,98.6,119.3,0
 2004-05 to 2005-06, Gunnedah,68.8,600.6,100.6,84.6,117.3,0
 2009-10 to 2010-11, Ryde,663,600.3,88.8,84.2,93.6, --
 2013-14 to 2014-15, Liverpool,"1,070.40",600.2,85,81.3,88.5, --
 2010-11 to 2011-12, Guyra,27.5,599.8,87.1,69.5,107.5,0
 2012-13 to 2013-14, Burwood,215.1,599.7,84.4,77.1,92.3, --
 2001-02 to 2002-03, Gosford,991,599.3,110.7,105.9,115.9, ++
 2008-09 to 2009-10, Great Lakes,240.7,598.8,88.9,81.5,96.7, --
 2013-14 to 2014-15, Lake Macquarie,"1,278.90",598.7,84.8,81.6,88, --
 2012-13 to 2013-14, Tamworth Regional,357.1,598.5,84.2,78.2,90.8, --
 2004-05 to 2005-06, Boorowa,14.7,598.4,100.3,73,134.2,0
 2006-07 to 2007-08, Armidale Dumaresq,141.5,597.6,89.3,79.4,99.6, -
 2004-05 to 2005-06, Pittwater,346.4,597.5,100.1,92.8,107.9,0
 2006-07 to 2007-08, Sutherland Shire,"1,283.20",597.4,89.3,85.8,92.9, --
 2002-03 to 2003-04, Parramatta,888.9,597.3,108.4,103.6,113.4, ++
 2013-14 to 2014-15, Singleton,135.1,597.1,84.5,75.2,94.3, --
 2013-14 to 2014-15, Parkes,92.8,596.9,84.5,73.4,96.1, -
 2005-06 to 2006-07, Cooma-Monaro,60.6,596.3,92.8,78.2,108.4,0
 2008-09 to 2009-10, Wakool,27,596.3,88.5,69.3,110.1,0
 2011-12 to 2012-13, Greater Taree,313.6,595.2,84.8,78.4,91.5, --
 2013-14 to 2014-15, Maitland,423.5,595.2,84.3,78.9,89.9, --
 2001-02 to 2002-03, Holroyd,522.9,594.6,109.9,103.5,116.8, ++
 2007-08 to 2008-09, Cessnock,287.9,594.6,88.7,81.8,95.7, --
 2004-05 to 2005-06, Holroyd,528,594.5,99.6,93.5,105.5,0
 2011-12 to 2012-13, Canada Bay,495.3,594.3,84.7,79.4,90, --
 2003-04 to 2004-05, Botany Bay,224.8,594,104.1,95,114.8,0
 2002-03 to 2003-04, Tumbarumba,23,593.6,107.7,82.1,137.8,0
 2007-08 to 2008-09, Corowa Shire,70.4,593.3,88.5,75.2,102.4,0
 2012-13 to 2013-14, Kiama,138.6,593.3,83.5,74.2,93.7, --
 2006-07 to 2007-08, Walcha,19.8,593.1,88.6,69.1,112.1,0
 2003-04 to 2004-05, Gwydir,33.4,592.8,103.9,83.2,128.2,0
 2010-11 to 2011-12, Lake Macquarie,"1,222.50",592.3,86,82.5,89.3, --
 2011-12 to 2012-13, Wingecarribee,295.2,592.2,84.4,77.7,91, --
 2012-13 to 2013-14, Walcha,20.6,592.2,83.3,64.7,104,0
 2003-04 to 2004-05, Marrickville,451.8,592.1,103.8,97.3,110.5,0
 2012-13 to 2013-14, Maitland,411.9,592,83.3,78,89.2, --
