"","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","region_id","LGA"
"122",16,18,25,15,19,18,16,28,12,16,12,14,32,17,16,21,8,"LGA17650","Uralla"
"123",247,263,352,362,304,294,260,220,281,259,293,236,258,315,349,305,325,"LGA17750","Wagga Wagga"
"124",7,18,17,6,5,6,5,6,7,7,12,9,13,18,13,11,4,"LGA17800","Wakool"
"125",25,26,12,20,9,6,14,13,12,6,11,8,11,9,12,6,8,"LGA17850","Walcha"
"126",183,188,219,195,172,275,231,240,177,165,194,214,179,199,219,171,178,"LGA17900","Walgett"
"127",175,241,235,304,352,275,240,205,227,218,243,238,289,232,236,245,188,"LGA18000","Warringah"
"128",28,27,44,42,28,33,51,38,64,51,45,49,60,55,50,48,45,"LGA18020","Warrumbungle Shire"
"129",109,97,125,164,161,135,141,141,171,155,139,144,134,116,149,144,200,"LGA18050","Waverley"
"130",9,14,15,11,9,8,4,17,10,13,1,7,8,5,8,9,10,"LGA18100","Weddin"
"131",46,59,59,65,84,63,46,66,60,54,74,69,93,78,56,86,73,"LGA18150","Wellington"
"132",62,114,88,95,89,68,76,67,90,69,91,74,66,75,68,73,66,"LGA18200","Wentworth"
"133",30,73,64,95,80,106,80,71,81,49,53,59,65,86,87,70,89,"LGA18250","Willoughby"
"134",103,91,92,94,118,122,152,123,131,113,120,108,116,112,124,131,124,"LGA18350","Wingecarribee"
"135",107,87,96,80,94,118,95,129,125,138,144,163,153,139,172,145,183,"LGA18400","Wollondilly"
"136",501,651,858,744,832,763,730,729,728,683,696,622,645,681,738,776,720,"LGA18450","Wollongong"
"137",50,65,75,75,52,70,67,71,68,87,80,82,67,74,78,95,90,"LGA18500","Woollahra"
"138",419,582,726,686,747,717,724,758,809,764,754,712,712,734,726,808,820,"LGA18550","Wyong"
"139",19,23,35,46,46,36,19,29,40,27,28,27,30,31,36,39,24,"LGA18710","Yass Valley"
"140",35,34,52,35,58,70,66,64,51,70,73,67,69,64,81,90,68,"LGA18750","Young"
