region_id,LGA
LGA60610,Burnie (C)
LGA60810,Central Coast (M) (Tas.)
LGA61010,Central Highlands (M) (Tas.)
LGA61210,Circular Head (M)
LGA61410,Clarence (C)
LGA61510,Derwent Valley (M)
LGA61610,Devonport (C)
LGA61810,Dorset (M)
LGA62010,Flinders (M) (Tas.)
LGA62210,George Town (M)
LGA62410,Glamorgan/Spring Bay (M)
LGA62610,Glenorchy (C)
LGA62810,Hobart (C)
LGA63010,Huon Valley (M)
LGA63210,Kentish (M)
LGA63410,King Island (M)
LGA63610,Kingborough (M)
LGA63810,Latrobe (M) (Tas.)
LGA64010,Launceston (C)
LGA64210,Meander Valley (M)
LGA64610,Northern Midlands (M)
LGA64810,Sorell (M)
LGA65010,Southern Midlands (M)
LGA65210,Tasman (M)
LGA65410,Waratah/Wynyard (M)
LGA65610,West Coast (M)
LGA65810,West Tamar (M)
LGA69499,No usual address (Tas.)
LGA70200,Alice Springs (T)
LGA70420,Barkly (R)
LGA70540,Belyuen (S)
LGA70620,Central Desert (R)
LGA70700,Coomalie (S)
LGA71000,Darwin (C)
LGA71300,East Arnhem (R)
LGA72200,Katherine (T)
LGA72300,Litchfield (M)
LGA72330,MacDonnell (R)
LGA72800,Palmerston (C)
LGA73600,Roper Gulf (R)
LGA74050,Tiwi Islands (R)
LGA74550,Victoria Daly (R)
LGA74680,West Daly (R)
LGA74560,Wagait (S)
LGA74660,West Arnhem (R)
LGA79399,Unincorporated NT
LGA79499,No usual address (NT)
LGA89399,Unincorporated ACT
LGA89499,No usual address (ACT)
LGA99399,Unincorp. Other Territories
LGA99499,No usual address (OT)
