,LGA,region_id,yr1999_dv,yr2000_dv,yr2001_dv,yr2002_dv,yr2003_dv,yr2004_dv,yr2005_dv,yr2006_dv,yr2007_dv,yr2008_dv,yr2009_dv,yr2010_dv,yr2011_dv,yr2012_dv,yr2013_dv,yr2014_dv,yr2015_dv
129,Waverley,LGA18050,109,97,125,164,161,135,141,141,171,155,139,144,134,116,149,144,200
130,Weddin,LGA18100,9,14,15,11,9,8,4,17,10,13,1,7,8,5,8,9,10
131,Wellington,LGA18150,46,59,59,65,84,63,46,66,60,54,74,69,93,78,56,86,73
132,Wentworth,LGA18200,62,114,88,95,89,68,76,67,90,69,91,74,66,75,68,73,66
133,Willoughby,LGA18250,30,73,64,95,80,106,80,71,81,49,53,59,65,86,87,70,89
134,Wingecarribee,LGA18350,103,91,92,94,118,122,152,123,131,113,120,108,116,112,124,131,124
135,Wollondilly,LGA18400,107,87,96,80,94,118,95,129,125,138,144,163,153,139,172,145,183
136,Wollongong,LGA18450,501,651,858,744,832,763,730,729,728,683,696,622,645,681,738,776,720
137,Woollahra,LGA18500,50,65,75,75,52,70,67,71,68,87,80,82,67,74,78,95,90
138,Wyong,LGA18550,419,582,726,686,747,717,724,758,809,764,754,712,712,734,726,808,820
139,Yass Valley,LGA18710,19,23,35,46,46,36,19,29,40,27,28,27,30,31,36,39,24
140,Young,LGA18750,35,34,52,35,58,70,66,64,51,70,73,67,69,64,81,90,68
