LGA,region_id,yr_2006_Couple family with children,yr_2007_Couple family with children,yr_2008_Couple family with children,yr_2009_Couple family with children,yr_2010_Couple family with children,yr_2011_Couple family with children,yr_2012_Couple family with children,yr_2013_Couple family with children,yr_2014_Couple family with children,yr_2015_Couple family with children,yr_2016_Couple family with children,yr_2006One parent family,yr_2007One parent family,yr_2008One parent family,yr_2009One parent family,yr_2010One parent family,yr_2011One parent family,yr_2012One parent family,yr_2013One parent family,yr_2014One parent family,yr_2015One parent family,yr_2016One parent family,,,,
Inner West (A),LGA14170,0.412136968,0.415467682,0.418825314,0.422210081,0.425622202,0.425459826,0.157752463,0.058491632,0.021687592,0.008041349,1.496289278,0.1561,0.1544,0.1527,0.1510,0.1494,0.149273959,0.065974259,0.029158487,0.012887108,0.005695684,0.482472762,,,,
Inverell (A),LGA14200,0.497950549,0.470623463,0.444796064,0.420386049,0.397315635,0.388642206,0.45522878,0.533223718,0.624581631,0.731592013,0.12229591,0.1148,0.1294,0.1458,0.1644,0.1853,0.173171302,0.200436968,0.231995589,0.268523086,0.310801805,0.064108637,,,,
Junee (A),LGA14300,0.429392588,0.430531526,0.431673484,0.432818472,0.433966497,0.433948339,0.531678279,0.651418077,0.798124594,0.977871033,0.04302858,0.1822,0.1780,0.1739,0.1698,0.1659,0.165313653,0.201865499,0.246499179,0.301001634,0.367554912,0.019106269,,,,
Kempsey (A),LGA14350,0.441298179,0.413045024,0.386600716,0.361849447,0.338682824,0.32828556,0.36517694,0.406214022,0.451862683,0.502641152,0.180720038,0.1702,0.1846,0.2002,0.2171,0.2354,0.227690644,0.251808946,0.278481999,0.307980414,0.340603472,0.131217432,,,,
Kiama (A),LGA14400,0.432647052,0.431139081,0.429636366,0.428138889,0.426646631,0.426615169,0.483490025,0.54794724,0.620997668,0.703786926,0.199115743,0.1783,0.1655,0.1536,0.1426,0.1324,0.127106742,0.145264289,0.166015692,0.189731491,0.216835156,0.054476551,,,,
Ku-ring-gai (A),LGA14500,0.473630832,0.49878748,0.525280311,0.553180294,0.582562169,0.574257426,0.348506292,0.211502072,0.128356726,0.077897341,1.477261961,0.1339,0.1255,0.1176,0.1103,0.1034,0.100356974,0.059936191,0.035795689,0.021378258,0.012767736,0.262040107,,,,
Kyogle (A),LGA14550,0.445291496,0.424850143,0.405347161,0.386739474,0.368985983,0.363526082,0.440255541,0.53318029,0.645718668,0.782010524,0.056608243,0.1619,0.1675,0.1733,0.1794,0.1856,0.184391427,0.222120423,0.267569284,0.322317601,0.388268168,0.033475446,,,,
Lachlan (A),LGA14600,0.409966796,0.408603569,0.407244876,0.4058907,0.404541027,0.404513889,0.493977273,0.603226622,0.736637851,0.899554668,0.046660351,0.1970,0.1882,0.1799,0.1719,0.1643,0.162037037,0.197157855,0.239890956,0.291886269,0.355151339,0.021553766,,,,
Lake Macquarie (C),LGA14650,0.483734088,0.468618433,0.45397511,0.43978936,0.426046884,0.423271469,0.073262713,0.01268081,0.002194881,0.000379905,1.82330649,0.1231,0.1360,0.1504,0.1663,0.1838,0.174982886,0.029856825,0.005094384,0.00086924,0.000148316,0.755487131,,,,
Lane Cove (A),LGA14700,0.395247029,0.423049944,0.452808603,0.48466058,0.518753124,0.506458689,0.539871087,0.575487789,0.613454216,0.653925388,0.372809095,0.2114,0.1873,0.1659,0.1470,0.1302,0.114915915,0.123847799,0.133473918,0.14384823,0.15502889,0.079188378,,,,
Leeton (A),LGA14750,0.440548295,0.442160665,0.443778936,0.445403131,0.447033269,0.446997776,0.536423677,0.643740029,0.772525976,0.927076702,0.089294173,0.1651,0.1673,0.1695,0.1717,0.1740,0.173832468,0.208546704,0.250193352,0.300156808,0.360097936,0.034975525,,,,
Lismore (C),LGA14850,0.451247166,0.436029922,0.421325845,0.407117627,0.393388549,0.390378193,0.40825144,0.426943004,0.446490351,0.466932662,0.318885204,0.1536,0.1689,0.1856,0.2041,0.2243,0.21464031,0.221580824,0.228745763,0.236142384,0.243778178,0.186878257,,,,
Lithgow (C),LGA14870,0.441235923,0.428863602,0.416838204,0.405149999,0.393789533,0.391746641,0.451372074,0.520072741,0.599229929,0.690435164,0.153244908,0.1632,0.1685,0.1740,0.1797,0.1855,0.184452975,0.210769124,0.240839833,0.27520077,0.314464027,0.079188378,,,,
Liverpool (C),LGA14900,0.475122065,0.500060541,0.526308001,0.553933154,0.583008311,0.574875968,0.136623541,0.032469599,0.007716641,0.001833917,2.327885678,0.1251,0.1399,0.1566,0.1751,0.1959,0.184502568,0.044361827,0.010666365,0.002564622,0.000616638,0.74506553,,,,
Liverpool Plains (A),LGA14920,0.373271889,0.371309516,0.36935746,0.367415666,0.36548408,0.365422397,0.442665411,0.53623606,0.64958568,0.786895151,0.056450339,0.2267,0.2127,0.1995,0.1871,0.1755,0.17043222,0.205934638,0.248832498,0.300666331,0.363297574,0.028422549,,,,
Maitland (C),LGA15050,0.422052966,0.433064919,0.44436419,0.455958274,0.467854864,0.466100779,0.39440554,0.333738405,0.282403038,0.238964035,0.752881731,0.1779,0.1766,0.1754,0.1741,0.1729,0.172848183,0.14032598,0.113922983,0.092487835,0.075085811,0.302936997,,,,
Mid-Coast (A),LGA15240,0.341266084,0.334619201,0.32810178,0.3217113,0.315445288,0.314678552,0.248176076,0.195727876,0.154363797,0.121741381,0.580688457,0.1615,0.1644,0.1673,0.1703,0.1733,0.173022747,0.130497604,0.098424195,0.074233716,0.05598872,0.343123322,,,,
