LGA,region_id,yr2006_x200_799_ppt,yr2007_x200_799_ppt,yr2008_x200_799_ppt,yr2009_x200_799_ppt,yr2010_x200_799_ppt,yr2011_x200_799_ppt,yr2012_x200_799_ppt,yr2013_x200_799_ppt,yr2014_x200_799_ppt,yr2015_x200_799_ppt,yr2016_x200_799_ppt
Tenterfield (A),LGA17400,0.7438,0.718799342,0.694639008,0.671290752,0.64872728,0.643797367,0.656579527,0.669615467,0.682910227,0.696468945,0.694926004
The Hills Shire (A),LGA17420,0.4473,0.419154883,0.392780719,0.368066077,0.344906535,0.33471953,0.341795527,0.349021111,0.356399445,0.363933757,0.363023518
Tweed (A),LGA17550,0.7071,0.680623336,0.655138064,0.630607064,0.606994602,0.601193343,0.602795424,0.604401774,0.606012405,0.607627327,0.607601666
Upper Hunter Shire (A),LGA17620,0.645,0.609682084,0.576298052,0.544742011,0.514913867,0.503728335,0.509261109,0.514854653,0.520509635,0.526226728,0.525859431
Upper Lachlan Shire (A),LGA17640,0.6501,0.620071321,0.591429692,0.564111045,0.53805427,0.529985283,0.533758346,0.537558269,0.541385245,0.545239466,0.545077533
Uralla (A),LGA17650,0.6757,0.64826532,0.621944539,0.59669243,0.572465605,0.565961279,0.573629668,0.581401958,0.589279557,0.597263893,0.596634834
Wagga Wagga (C),LGA17750,0.6202,0.589523284,0.560363919,0.532646853,0.506300745,0.497493137,0.497372275,0.497251442,0.497130638,0.497009864,0.497009688
Walgett (A),LGA17900,0.7187,0.689542086,0.66156712,0.634727107,0.608976003,0.602068345,0.616008642,0.630271713,0.644865032,0.659796244,0.657829534
Warrumbungle Shire (A),LGA18020,0.7219,0.701430792,0.681541981,0.66221711,0.643440188,0.640023168,0.640889985,0.641757975,0.642627141,0.643497484,0.643490434
Waverley (A),LGA18050,0.4588,0.418262011,0.38130582,0.34761495,0.316900889,0.296648045,0.294623595,0.292612962,0.290616049,0.288632765,0.288550247
Wentworth (A),LGA18200,0.6761,0.645327447,0.615955501,0.587920413,0.561161336,0.55300979,0.560715426,0.568528433,0.576450306,0.584482562,0.583832335
Western Plains Regional (A),LGA18230,0.651,0.622640091,0.595515642,0.569572832,0.544760185,0.537560365,0.535537256,0.53352176,0.53151385,0.529513497,0.529467928
Willoughby (C),LGA18250,0.423,0.388370986,0.356576887,0.32738562,0.300584104,0.284483945,0.2913566,0.298395286,0.305604015,0.312986895,0.311974563
Wingecarribee (A),LGA18350,0.5985,0.573066257,0.548713341,0.525395322,0.503068221,0.496765026,0.49967836,0.502608779,0.505556383,0.508521275,0.50841836
Wollondilly (A),LGA18400,0.5321,0.50798725,0.484967198,0.462990328,0.442009366,0.435649,0.436619565,0.437592292,0.438567186,0.439544252,0.439531259
Wollongong (C),LGA18450,0.5941,0.569400938,0.545728712,0.523040633,0.501295787,0.49530375,0.501140908,0.507046857,0.513022408,0.51906838,0.518652382
Woollahra (A),LGA18500,0.3785,0.341301115,0.307758128,0.277511737,0.250237953,0.229704462,0.229079117,0.228455475,0.227833531,0.22721328,0.227203084
Yass Valley (A),LGA18710,0.5435,0.501087035,0.461983839,0.425932128,0.392693776,0.373848139,0.380373042,0.387011827,0.393766481,0.400639027,0.399947753
