LGA,region_id,2006_Non-Indigenous_ppt,2007_Non-Indigenous_ppt,2008_Non-Indigenous_ppt,2009_Non-Indigenous_ppt,2010_Non-Indigenous_ppt,2011_Total_Non_Indig_Males_ppt,2012_Non-Indigenous_ppt,2013_Non-Indigenous_ppt,2014_Non-Indigenous_ppt,2015_Non-Indigenous_ppt,2016_Non-Indigenous_ppt,2006_Total_Indig_Males_ppt,2007_Total_Indig_Males_ppt,2008_Total_Indig_Males_ppt,2009_Total_Indig_Males_ppt,2010_Total_Indig_Males_ppt,2011_Total_Indig_Males_ppt,2012_Total_Indig_Males_ppt,2013_Total_Indig_Males_ppt,2014_Total_Indig_Males_ppt,2015_Total_Indig_Males_ppt,2016_Indigenous_ppt
Hunters Hill (A),LGA14100,0.9916,0.992073016,0.992546257,0.993019725,0.993493418,0.993492063,0.99297005,0.992448312,0.991926847,0.991405656,0.991404011,0.0084,0.007937642,0.007500733,0.007087873,0.006697738,0.006550567,0.007061923,0.007613196,0.008207503,0.008848204,0.008595989
Inner West (A),LGA14170,0.9817,0.983473652,0.985250508,0.987030574,0.988813857,0.988794607,0.988759158,0.98872371,0.988688263,0.988652818,0.98865281,0.0183,0.016558094,0.014981994,0.013555916,0.012265581,0.011332377,0.01133608,0.011339785,0.01134349,0.011347197,0.01134719
Inverell (A),LGA14200,0.9893,0.973883983,0.958708189,0.943768877,0.92906236,0.927635931,0.922561965,0.917515752,0.912497142,0.907505982,0.907340067,0.0107,0.027527282,0.070817873,0.182189117,0.468707586,0.078009127,0.081671829,0.085506502,0.089521222,0.093724442,0.092659933
Junee (A),LGA14300,0.9454,0.937157345,0.928986554,0.920887003,0.912858069,0.912429379,0.908006244,0.903604552,0.899224198,0.894865077,0.894736842,0.0546,0.064943808,0.07724722,0.091881477,0.10928815,0.095975232,0.098297214,0.100675372,0.103111067,0.105605689,0.105263158
Kempsey (A),LGA14350,0.9856,0.960071985,0.935205171,0.910982432,0.887387086,0.883487941,0.881271772,0.879061163,0.876856099,0.874656566,0.874623267,0.0144,0.043769341,0.133038554,0.40437568,1.229115059,0.131877362,0.130252205,0.128647075,0.127061725,0.125495912,0.125376733
Kiama (A),LGA14400,0.9259,0.940665602,0.955666674,0.970906974,0.986390315,0.984962406,0.98364656,0.982332471,0.981020138,0.979709558,0.97969902,0.0741,0.059391794,0.047603039,0.038154249,0.030580962,0.015267176,0.016525627,0.01788781,0.019362276,0.020958281,0.02030098
Ku-ring-gai (A),LGA14500,0.9885,0.991042784,0.993592109,0.996147992,0.998710449,0.998671136,0.99850608,0.998341052,0.998176051,0.998011077,0.998010913,0.0115,0.008957658,0.00697736,0.005434853,0.004233352,0.001330632,0.001495246,0.001680224,0.001888086,0.002121663,0.001989087
Kyogle (A),LGA14550,0.9971,0.983429171,0.969945778,0.95664725,0.943531052,0.942416686,0.945448878,0.948490826,0.951542562,0.954604116,0.954545455,0.0029,0.017450439,0.105006145,0.63186322,3.80216917,0.061101756,0.057189953,0.053528589,0.050101628,0.046894066,0.045454545
Lachlan (A),LGA14600,0.9989,0.958784803,0.920280608,0.883322716,0.847849031,0.838439213,0.833152854,0.827899826,0.822679917,0.817492921,0.817293777,0.0011,0.048998077,2.182555947,97.21913109,4330.500421,0.192692308,0.190195787,0.18773161,0.18529936,0.182898622,0.182706223
Lake Macquarie (C),LGA14650,0.9392,0.946820247,0.954502321,0.962246725,0.970053963,0.969680988,0.966423582,0.963177119,0.959941561,0.956716872,0.956651364,0.0608,0.053416749,0.046930083,0.041231126,0.036224223,0.031266996,0.034287406,0.037599589,0.041231732,0.045214741,0.043348636
