LGA,region_id,yr2006_M_Born_Aust_ppt,yr2007_M_Born_Aust_ppt,yr2008_M_Born_Aust_ppt,yr2009_M_Born_Aust_ppt,yr2010_M_Born_Aust_ppt,yr2011_M_Born_Aust_ppt,yr2012_M_Born_Aust_ppt,yr2013_M_Born_Aust_ppt,yr2014_M_Born_Aust_ppt,yr2015_M_Born_Aust_ppt,yr2016_M_Born_Aust_ppt,yr2006_M_Born_OS_ppt,yr2007_M_Born_OS_ppt,yr2008_M_Born_OS_ppt,yr2009_M_Born_OS_ppt,yr2010_M_Born_OS_ppt,,yr2011_M_Born_OS_ppt,yr2012_M_Born_OS_ppt,yr2013_M_Born_OS_ppt,yr2014_M_Born_OS_ppt,yr2015_M_Born_OS_ppt,yr2016_M_Born_OS_ppt
Leeton (A),LGA14750,0.4637,0.455231736,0.446918123,0.438756337,0.430743604,0.429826946,0.413695209,0.398168909,0.383225323,0.368842582,0.3653,0.0386,0.0446472,0.051641775,0.059732141,0.069089971,0.156663221,0.062788801,0.057416601,0.052504045,0.048011807,0.043903924,0.0413
Lismore (C),LGA14850,0.4425,0.436660343,0.430897753,0.425211211,0.419599714,0.419141374,0.35960603,0.308527159,0.264703591,0.227104775,0.181,0.0435,0.050039535,0.057562185,0.066215747,0.076170234,0.150334136,0.06965814,0.057618605,0.047659952,0.039422528,0.032608839,0.0215
Lithgow (C),LGA14870,0.4585,0.451310147,0.44423304,0.437266911,0.430410019,0.429740588,0.429905441,0.430070357,0.430235337,0.43040038,0.4304,0.0489,0.05683769,0.066063866,0.07678768,0.089252237,0.162324956,0.080650761,0.065863071,0.053786772,0.043924719,0.035870918,0.0215
Liverpool (C),LGA14900,0.2949,0.288579784,0.282395021,0.276342808,0.270420305,0.269619136,0.219739352,0.179087373,0.145956047,0.118954046,0.0701,0.2018,0.207907846,0.214200557,0.220683728,0.227363124,0.030266827,0.226231383,0.170548537,0.128571037,0.096925555,0.073069047,0.0035
Liverpool Plains (A),LGA14920,0.4798,0.47248369,0.465278944,0.45818406,0.451197364,0.450534759,0.45052607,0.45051738,0.45050869,0.450500001,0.4505,0.0195,0.027993984,0.040187853,0.057693237,0.082823772,0.435588921,0.053475936,0.055881952,0.058396221,0.061023613,0.063769217,0.0631
Maitland (C),LGA15050,0.4527,0.446624987,0.440631497,0.434718437,0.428884728,0.428399947,0.42839996,0.428399973,0.428399987,0.4284,0.4284,0.0361,0.042253796,0.049456601,0.057887234,0.067754998,0.170465273,0.060715185,0.067161389,0.074291994,0.082179663,0.090904776,0.0865
Mid-Coast (A),LGA15240,0.4456,0.438025232,0.430579228,0.423259799,0.416064792,0.415300928,0.363850696,0.31877446,0.279282567,0.244683191,0.2095,0.0444,0.05163409,0.060046831,0.069830259,0.081207701,0.162929965,0.073336362,0.059602271,0.048440237,0.039368576,0.031995814,0.0184
Mid-Western Regional (A),LGA15270,0.4567,0.450083921,0.443563687,0.43713791,0.430805222,0.430235684,0.351201763,0.286686305,0.23402228,0.191032591,0.1141,0.0434,0.051391294,0.060854035,0.072059161,0.085327501,0.184131199,0.075365176,0.058373882,0.045213324,0.035019851,0.027124526,0.0074
Moree Plains (A),LGA15300,0.4878,0.475149382,0.462826846,0.450823882,0.439132204,0.437197528,0.369623146,0.312493236,0.264193472,0.223359045,0.1669,0.0261,0.037388268,0.053558719,0.076722902,0.109905609,0.432500683,0.071253071,0.076564803,0.082272512,0.088405714,0.094996132,0.0925
Mosman (A),LGA15350,0.3077,0.301052211,0.294548046,0.288184402,0.281958244,0.281108845,0.236731633,0.199360025,0.167888081,0.141384451,0.1036,0.15,0.158972024,0.168480696,0.178558115,0.189238299,0.059813493,0.185888096,0.141341072,0.107469488,0.081715037,0.062132494,0.0077
Murray River (A),LGA15520,0.478,0.469338905,0.460834744,0.452484673,0.444285901,0.443355619,0.369391714,0.307767022,0.256423022,0.213644613,0.1475,0.0276,0.036269191,0.047661385,0.062631881,0.082304626,0.314101135,0.062276765,0.050307574,0.040638784,0.032828272,0.026518891,0.0144
Muswellbrook (A),LGA15650,0.4817,0.472400182,0.463279909,0.454335713,0.445564197,0.444500728,0.374250546,0.315102906,0.265303131,0.223373856,0.1635,0.0309,0.041268459,0.055116043,0.073610167,0.098309973,0.335548839,0.072373837,0.058630377,0.047496738,0.038477326,0.031170658,0.0174
Nambucca (A),LGA15700,0.4445,0.437542784,0.430694461,0.423953327,0.417317703,0.416671137,0.341478352,0.279854914,0.229352088,0.187963039,0.1159,0.0462,0.052418063,0.059473016,0.067477496,0.076559299,0.13459011,0.071072252,0.054754189,0.042182725,0.032497646,0.025036244,0.0058
Narrabri (A),LGA15750,0.4823,0.47440487,0.466638981,0.459000218,0.4514865,0.45071948,0.35076461,0.272976468,0.212439197,0.165327117,0.0509,0.0204,0.027910243,0.038185375,0.05224329,0.071476613,0.368149163,0.050440972,0.038480729,0.029356423,0.022395614,0.017085308,0.0026
Narrandera (A),LGA15800,0.4691,0.459094954,0.449303298,0.43972048,0.430342045,0.429079817,0.336309863,0.263597399,0.206605861,0.161936279,0.058,0.0239,0.034320526,0.049284457,0.07077274,0.101630029,0.43600528,0.065582105,0.049786579,0.037795423,0.028692352,0.021781765,0.0024
Narromine (A),LGA15850,0.4762,0.469695565,0.463279974,0.456952015,0.450710489,0.45018226,0.450186695,0.45019113,0.450195565,0.4502,0.4502,0.0186,0.026404435,0.037483558,0.053211408,0.075538557,0.419593279,0.04981774,0.093063305,0.17384929,0.324763619,0.606682995,0.2228
Newcastle (C),LGA15900,0.4272,0.421404814,0.415688242,0.410049219,0.404486691,0.404019255,0.395464441,0.387090769,0.378894404,0.370871591,0.3698,0.0594,0.066667683,0.074824578,0.083979482,0.094254502,0.122351561,0.088470731,0.129503048,0.189565965,0.277485786,0.406182415,0.2526
North Sydney (A),LGA15950,0.2919,0.283438799,0.275222859,0.267245072,0.259498534,0.258055194,0.204991396,0.162839087,0.129354543,0.102755414,0.0458,0.1798,0.189406182,0.199525593,0.210185655,0.221415252,0.053427039,0.218224727,0.164968545,0.124709153,0.094274777,0.071267693,0.0052
Oberon (A),LGA16100,0.4765,0.469974206,0.463537785,0.457189512,0.450928181,0.450396825,0.424747619,0.400559084,0.377748038,0.356236036,0.3478,0.0499,0.056671032,0.064360838,0.073094091,0.083012375,0.135692019,0.076984127,0.067313095,0.058856974,0.051463143,0.044998152,0.0383
Orange (C),LGA16150,0.4486,0.440165577,0.431889735,0.423769493,0.415801925,0.414862308,0.343496731,0.284407626,0.235483166,0.194974806,0.1294,0.0356,0.045034822,0.056970091,0.072068481,0.091168293,0.2650231,0.073339289,0.056804467,0.043997529,0.034077998,0.026394891,0.0072
Parkes (A),LGA16200,0.4751,0.464980428,0.455076401,0.445383329,0.435896718,0.434621711,0.434941283,0.43526109,0.435581133,0.435901411,0.4359,0.0215,0.030670641,0.043752942,0.062415385,0.089038135,0.426541463,0.058182566,0.153611924,0.405561752,1.070752386,2.826969423,0.4399
Penrith (C),LGA16350,0.3865,0.381403639,0.376374477,0.37141163,0.366514223,0.366114554,0.367435916,0.368762046,0.370092963,0.371428683,0.3714,0.1085,0.113243815,0.118195039,0.123362739,0.12875638,0.0437218,0.127475261,0.118031446,0.109287262,0.101190877,0.093694302,0.0897
Port Macquarie-Hastings (A),LGA16380,0.4285,0.422185223,0.415963507,0.40983348,0.403793791,0.403240894,0.40338067,0.403520495,0.403660369,0.403800291,0.4038,0.0521,0.0584055,0.065474134,0.073398263,0.082281425,0.121026864,0.077321998,0.077691499,0.078062765,0.078435805,0.078810628,0.0788
