"","LGA","region_id","yr1999_dv","yr2000_dv","yr2001_dv","yr2002_dv","yr2003_dv","yr2004_dv","yr2005_dv","yr2006_dv","yr2007_dv","yr2008_dv","yr2009_dv","yr2010_dv","yr2011_dv","yr2012_dv","yr2013_dv","yr2014_dv","yr2015_dv","yr2016_dv","yr2017_dv","yr1999_pop","yr2000_pop","yr2001_pop","yr2002_pop","yr2003_pop","yr2004_pop","yr2005_pop","yr2006_pop","yr2007_pop","yr2008_pop","yr2009_pop","yr2010_pop","yr2011_pop","yr2012_pop","yr2013_pop","yr2014_pop","yr2015_pop","yr2016_pop","yr2017_pop","yr1999pct","yr2000pct","yr2001pct","yr2002pct","yr2003pct","yr2004pct","yr2005pct","yr2006pct","yr2007pct","yr2008pct","yr2009pct","yr2010pct","yr2011pct","yr2012pct","yr2013pct","yr2014pct","yr2015pct","yr2016pct","yr2017pct"
"31","Forbes","LGA12900",42,42,49,40,49,39,52,57,97,65,76,84,77,76,64,81,84,81,57,10181,10159,10143,10145,10091,9958,9979,10003,9728,9612,9574,9477,9471,9530,9608,9698,9750,9808,9844,0.412533149985267,0.413426518358106,0.483091787439614,0.3942828979793,0.485581210980081,0.391644908616188,0.521094298025854,0.569829051284615,0.997121710526316,0.676238035788598,0.793816586588678,0.886356441911997,0.813008130081301,0.797481636935992,0.666111573688593,0.835223757475768,0.861538461538461,0.825856443719413,0.579032913449817
"32","Gilgandra","LGA12950",35,30,26,38,46,55,37,39,33,25,25,32,30,26,28,42,33,33,40,4878,4833,4799,4773,4736,4675,4656,4699,4609,4538,4572,4574,4534,4468,4434,4392,4354,4309,4256,0.717507175071751,0.620732464307883,0.541779537403626,0.796144982191494,0.971283783783784,1.17647058823529,0.7946735395189,0.829963822089806,0.715990453460621,0.550903481710004,0.546806649168854,0.69960647135986,0.661667401852669,0.581915846016115,0.63148398737032,0.956284153005465,0.757923748277446,0.765838941749826,0.93984962406015
"33","Glen Innes Severn","LGA13010",27,34,21,37,56,80,73,49,42,40,28,37,30,31,24,73,76,106,71,8975,8910,8889,8853,8811,8756,8739,8783,9059,9048,9044,9021,8965,8910,8915,8930,8939,8942,8924,0.3008356545961,0.381593714927048,0.236247046911914,0.417937422342709,0.635569174895018,0.913659205116491,0.835335850783843,0.557895935329614,0.463627331935092,0.442086648983201,0.309597523219814,0.410154084912981,0.334634690462911,0.347923681257015,0.269209197980931,0.817469204927212,0.850206958272737,1.18541713263252,0.795607350963693
"34","Goulburn Mulwaree","LGA13310",89,106,142,150,109,144,103,102,141,135,142,131,139,98,101,125,125,105,127,26158,26461,26641,26799,26900,26974,27111,27308,27157,27509,27878,28128,28285,28718,29153,29438,29749,30150,30438,0.340240079516783,0.400589546880314,0.533013025036598,0.55972237770066,0.405204460966543,0.533847408615704,0.379919589834385,0.373516918119232,0.519203152041831,0.490748482314879,0.509362221106249,0.465728100113766,0.491426551175535,0.341249390626088,0.346448049943402,0.424621237855833,0.420182190998017,0.348258706467662,0.417241605887378
"35","Greater Hume Shire","LGA13340",22,23,8,27,15,14,19,21,30,25,16,17,22,10,18,21,15,18,18,10690,10568,10492,10470,10433,10479,10502,10585,10127,10108,10097,10087,10039,10162,10219,10319,10440,10509,10585,0.205799812909261,0.217638152914459,0.0762485703393061,0.257879656160458,0.143774561487587,0.133600534402138,0.180917920396115,0.198393953708077,0.296237780191567,0.247328848436882,0.158462909775181,0.168533756320016,0.219145333200518,0.098405825624877,0.176142479694686,0.203508091869367,0.14367816091954,0.171281758492721,0.170051960321209
"36","Griffith","LGA13450",86,110,187,136,197,155,121,142,152,129,151,145,190,192,200,195,256,242,211,23400,24036,24604,24709,24758,24870,25133,25441,24907,25107,25259,25265,25292,25638,25739,25998,26245,26422,26648,0.367521367521368,0.457646863038775,0.760039018045846,0.55040673438828,0.795702399224493,0.62324085243265,0.481438745871961,0.558154160606894,0.610270205163207,0.513800932010993,0.597806722356388,0.573916485256283,0.751225684010754,0.748888368827522,0.777030964683943,0.750057696745904,0.975423890264812,0.915903413821815,0.791804262984089
"37","Gunnedah","LGA13550",35,24,29,50,71,55,70,64,61,78,77,71,89,91,95,66,58,77,62,12532,12444,12405,12328,12209,12108,12065,12129,12086,12101,12250,12373,12515,12531,12510,12511,12504,12551,12628,0.279285030322375,0.192864030858245,0.233776702942362,0.405580791693705,0.581538209517569,0.454245127188636,0.580190634065479,0.52766097782175,0.504716200562634,0.644574828526568,0.628571428571429,0.573830113957811,0.711146624051139,0.726199026414492,0.759392486011191,0.527535768523699,0.463851567498401,0.613496932515337,0.490972442191954
"38","Gwydir","LGA13660",8,11,12,8,14,7,10,9,13,12,6,12,14,16,15,15,11,15,19,5772,5768,5760,5700,5634,5563,5526,5536,5285,5168,5147,5141,5074,5174,5220,5253,5306,5326,5316,0.138600138600139,0.190707350901526,0.208333333333333,0.140350877192982,0.248491302804402,0.125831385942837,0.180962721679334,0.16257225433526,0.245979186376537,0.232198142414861,0.116572760831552,0.233417623030539,0.275916436736303,0.309238500193274,0.28735632183908,0.285551113649343,0.207312476441764,0.281637251220428,0.357411587659895
"39","Hawkesbury","LGA13800",160,134,185,202,244,236,263,226,238,193,256,240,235,238,295,324,276,258,249,61502,62248,62814,63294,63655,63499,63440,63732,62458,63041,63499,63857,64234,64651,65082,65420,65773,66136,66402,0.260154141328737,0.215267960416399,0.294520329862769,0.319145574620027,0.383316314507894,0.371659396210964,0.414564943253468,0.354609929078014,0.381056069678824,0.306149965895211,0.403155955211893,0.375839766979344,0.365849861444095,0.368130423349987,0.453274330844166,0.495261387954754,0.419625074118559,0.390105237692029,0.374988705159483
"40","Hay","LGA13850",17,19,19,18,18,16,10,18,22,12,23,8,21,24,15,16,11,24,17,3682,3609,3599,3602,3577,3543,3531,3520,3421,3317,3236,3169,3097,3028,3013,3002,2989,2975,2969,0.461705594785443,0.526461623718482,0.527924423450959,0.499722376457524,0.503214984623987,0.451594693762348,0.283205890682526,0.511363636363636,0.643086816720257,0.361772686162195,0.710754017305315,0.25244556642474,0.678075556990636,0.792602377807133,0.497842681712579,0.532978014656895,0.368016058882569,0.80672268907563,0.572583361401145
